time,"V(N012,N005)","V(N013,N007)",V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),V(n010),V(n011),V(n012),V(n013),V(n014),V(n015),V(nc_01),V(nc_02),V(nc_03),V(nc_04),V(nc_05),V(nc_06),V(nc_07),V(nc_08),V(nc_09),V(nc_10),V(nc_11),V(nc_12),V(nc_13),V(nc_14),I(C1),I(C2),I(C3),I(C4),I(C5),I(C6),I(R1),I(R2),I(R3),I(R4),I(R5),I(R6),I(R7),I(R8),I(R9),I(R10),I(R11),I(R12),I(R13),I(R14),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9),I(V10),I(V11),I(V12)
Step Information: X=500  (Run: 1/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.678450000000158e-002,-0.06956589,-0.06989002,1.272159,2.5,1.227841,1.257676,1.256807,1.235411,1.23519,1.257241,1.257241,1.2353,1.2353,1.187241,1.1653,1.187241,1.1653,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.763688e-12,2.7701259999999997e-12,1.175935e-05,-1.175935e-05,-6.984991e-13,7.056031e-13,1.087218e-12,-1.085267e-12,1.681988e-12,-2.896647e-05,2.896647e-05,-2.896647e-05,2.455681e-05,-2.455681e-05,2.761203e-13,-2.751073e-13,4.2188469999999995e-13,-7.3497e-06,7.3497e-06,-7.3497e-06,-1.072319e-12,1.091802e-12,0.0,-2.6860340000000003e-13,0.0,0.0,-3.631617e-05,2.768949e-13,0.0,0.0,0.0,0.0
2.682750000000162e-002,-0.06958449,-0.06989467,1.271217,2.5,1.228783,1.25735,1.256518,1.2360309999999999,1.2358200000000001,1.256933,1.256933,1.235926,1.235926,1.186933,1.165926,1.186933,1.165926,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.396152e-12,2.4019240000000002e-12,1.019591e-05,-1.019591e-05,-6.049371e-13,6.124850999999999e-13,1.041074e-12,-1.0390120000000002e-12,1.354472e-12,-2.773447e-05,2.773447e-05,-2.773447e-05,2.4575660000000003e-05,-2.4575660000000003e-05,2.6446240000000004e-13,-2.633204e-13,3.497203e-13,-7.037104000000001e-06,7.037103e-06,-7.037103e-06,-1.034596e-12,1.050286e-12,0.0,-2.5141970000000003e-13,0.0,0.0,-3.477157e-05,2.647473e-13,0.0,0.0,0.0,0.0
2.687050000000167e-002,-0.06960046,-0.06989872,1.2704,2.5,1.2296,1.257067,1.256267,1.236569,1.236366,1.256666,1.256666,1.2364680000000001,1.2364680000000001,1.186666,1.166468,1.186666,1.166468,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.077081e-12,2.083075e-12,8.840327999999999e-06,-8.840327999999999e-06,-5.241179e-13,5.314439e-13,1.0010709999999999e-12,-9.988994e-13,1.071365e-12,-2.666627e-05,2.666627e-05,-2.666627e-05,2.4592010000000002e-05,-2.4592010000000002e-05,2.5436039999999997e-13,-2.530947e-13,2.720046e-13,-6.766068e-06,6.766068e-06,-6.766068e-06,-9.992290999999999e-13,1.01404e-12,0.0,-2.517927e-13,0.0,0.0,-3.343233e-05,2.5495340000000003e-13,0.0,0.0,0.0,0.0
2.691350000000171e-002,-0.06961441,-0.0699023,1.269691,2.5,1.230309,1.256821,1.256049,1.237036,1.23684,1.256435,1.256435,1.2369379999999999,1.2369379999999999,1.1864350000000001,1.166938,1.1864350000000001,1.166938,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.800527e-12,1.8065209999999998e-12,7.664977e-06,-7.664977e-06,-4.5428069999999996e-13,4.609406e-13,9.66392e-13,-9.641146e-13,8.493206e-13,-2.574009e-05,2.574009e-05,-2.574009e-05,2.460618e-05,-2.460618e-05,2.456087e-13,-2.442213e-13,2.164935e-13,-6.531067000000001e-06,6.531067000000001e-06,-6.531067000000001e-06,-9.515221e-13,9.542023999999999e-13,0.0,-2.343027e-13,0.0,0.0,-3.227115e-05,2.471183e-13,0.0,0.0,0.0,0.0
2.695650000000175e-002,-0.06962645,-0.0699054,1.269077,2.5,1.230923,1.256608,1.25586,1.2374399999999999,1.23725,1.256234,1.256234,1.2373450000000001,1.2373450000000001,1.186234,1.167345,1.186234,1.167345,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.560854e-12,1.566626e-12,6.645892e-06,-6.645892e-06,-3.9343979999999997e-13,4.000998e-13,9.363318000000001e-13,-9.339466999999998e-13,6.328271e-13,-2.493705e-05,2.493705e-05,-2.493705e-05,2.461846e-05,-2.461846e-05,2.380279e-13,-2.3652039999999996e-13,1.554312e-13,-6.32731e-06,6.32731e-06,-6.32731e-06,-9.277964e-13,9.387125e-13,0.0,-2.298009e-13,0.0,0.0,-3.1264359999999996e-05,2.440563e-13,0.0,0.0,0.0,0.0
2.699950000000180e-002,-0.06963682,-0.06990802,1.2685440000000001,2.5,1.2314559999999999,1.256424,1.2556969999999998,1.237791,1.237606,1.25606,1.25606,1.237698,1.237698,1.1860600000000001,1.167698,1.1860600000000001,1.167698,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.352838e-12,1.358832e-12,5.7622990000000005e-06,-5.7622990000000005e-06,-3.40688e-13,3.4734790000000003e-13,9.102744e-13,-9.077836e-13,4.4408919999999997e-13,-2.424077e-05,2.424077e-05,-2.424077e-05,2.4629120000000002e-05,-2.4629120000000002e-05,2.314616e-13,-2.298367e-13,1.054712e-13,-6.150643e-06,6.150643e-06,-6.150643e-06,-9.108221e-13,9.136061e-13,0.0,-2.327741e-13,0.0,0.0,-3.0391409999999996e-05,2.439277e-13,0.0,0.0,0.0,0.0
2.704350000000184e-002,-0.06964624,-0.06991053,1.2680719999999999,2.5,1.2319280000000001,1.25626,1.255552,1.238102,1.237922,1.255906,1.255906,1.238011,1.238011,1.185905,1.1680110000000001,1.185905,1.1680110000000001,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.168793e-12,1.174565e-12,4.979633999999999e-06,-4.979633999999999e-06,-2.939616e-13,3.006216e-13,8.871985e-13,-8.846037e-13,2.831069e-13,-2.3624029999999998e-05,2.3624029999999998e-05,-2.3624029999999998e-05,2.463855e-05,-2.463855e-05,2.256533e-13,-2.239085e-13,6.661337999999999e-14,-5.994157e-06,5.994157e-06,-5.994157e-06,-8.795039000000001e-13,8.885439e-13,0.0,-2.22844e-13,0.0,0.0,-2.9618190000000003e-05,2.324471e-13,0.0,0.0,0.0,0.0
2.708750000000188e-002,-0.06965423,-0.06991243,1.267665,2.5,1.232335,1.256119,1.255426,1.23837,1.238194,1.2557719999999999,1.2557719999999999,1.2382819999999999,1.2382819999999999,1.1857719999999998,1.168282,1.1857719999999998,1.168282,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.009871e-12,1.015199e-12,4.3032740000000005e-06,-4.3032740000000005e-06,-2.53582e-13,2.602419e-13,8.672635e-13,-8.645657e-13,1.4988010000000002e-13,-2.3091060000000004e-05,2.3091060000000004e-05,-2.3091060000000004e-05,2.4646710000000003e-05,-2.4646710000000003e-05,2.2064090000000002e-13,-2.1877840000000001e-13,3.885781e-14,-5.858925000000001e-06,5.858925000000001e-06,-5.858925000000001e-06,-8.6252e-13,8.654428e-13,0.0,-2.170851e-13,0.0,0.0,-2.894998e-05,2.21142e-13,0.0,0.0,0.0,0.0
2.713150000000193e-002,-0.06966114,-0.06991434,1.267312,2.5,1.232688,1.255997,1.255318,1.238602,1.23843,1.255657,1.255657,1.238515,1.238515,1.185657,1.168515,1.185657,1.168515,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-8.723435e-13,8.776714e-13,3.718781e-06,-3.718781e-06,-2.191308e-13,2.2490279999999998e-13,8.500413e-13,-8.472443000000001e-13,1.665335e-14,-2.263047e-05,2.263047e-05,-2.263047e-05,2.465375e-05,-2.465375e-05,2.163154e-13,-2.143391e-13,5.551115e-15,-5.742061e-06,5.742061e-06,-5.742061e-06,-8.645061999999999e-13,8.714296999999999e-13,0.0,-2.041181e-13,0.0,0.0,-2.837253e-05,2.233e-13,0.0,0.0,0.0,0.0
2.717650000000197e-002,-0.06966722,-0.06991589,1.267001,2.5,1.232999,1.255889,1.255223,1.238807,1.238638,1.255555,1.255555,1.2387219999999999,1.2387219999999999,1.185555,1.168722,1.185555,1.168722,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-7.509908000000001e-13,7.563188e-13,3.203032e-06,-3.203032e-06,-1.882289e-13,1.942229e-13,8.348515e-13,-8.319531999999999e-13,-8.326672999999999e-14,-2.222406e-05,2.222406e-05,-2.222406e-05,2.4659970000000002e-05,-2.4659970000000002e-05,2.125052e-13,-2.104154e-13,-1.110223e-14,-5.638941e-06,5.638941e-06,-5.638941e-06,-8.318425999999999e-13,8.403691999999999e-13,0.0,-1.961523e-13,0.0,0.0,-2.7863009999999998e-05,2.1059000000000001e-13,0.0,0.0,0.0,0.0
2.722150000000202e-002,-0.06967247,-0.0699172,1.266734,2.5,1.233266,1.2557969999999998,1.25514,1.238983,1.238816,1.255468,1.255468,1.238899,1.238899,1.185468,1.168899,1.185468,1.168899,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-6.462463000000001e-13,6.520183000000001e-13,2.7588119999999997e-06,-2.7588119999999997e-06,-1.6137520000000002e-13,1.6803520000000001e-13,8.217757e-13,-8.187753999999999e-13,-1.7763570000000003e-13,-2.187402e-05,2.187402e-05,-2.187402e-05,2.4665329999999998e-05,-2.4665329999999998e-05,2.0923e-13,-2.0702929999999998e-13,-3.3306689999999995e-14,-5.550123e-06,5.550123e-06,-5.550123e-06,-8.274821e-13,8.362886999999999e-13,0.0,-1.874774e-13,0.0,0.0,-2.7424140000000003e-05,1.9798120000000002e-13,0.0,0.0,0.0,0.0
2.726650000000206e-002,-0.069677,-0.06991839,1.2665030000000002,2.5,1.2334969999999998,1.255717,1.255069,1.239135,1.2389709999999998,1.255393,1.255393,1.239052,1.239052,1.185392,1.169052,1.185392,1.169052,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-5.564418e-13,5.617697e-13,2.376199e-06,-2.376199e-06,-1.389767e-13,1.4474860000000001e-13,8.105193000000001e-13,-8.074193e-13,-2.553513e-13,-2.157252e-05,2.157252e-05,-2.157252e-05,2.4669940000000002e-05,-2.4669940000000002e-05,2.0641750000000001e-13,-2.041043e-13,-7.21645e-14,-5.473623e-06,5.473623e-06,-5.473623e-06,-8.085378e-13,8.207374e-13,0.0,-1.983071e-13,0.0,0.0,-2.704614e-05,2.1138070000000003e-13,0.0,0.0,0.0,0.0
2.731250000000211e-002,-0.06968105,-0.06991947,1.2663,2.5,1.2337,1.2556459999999998,1.255007,1.239268,1.239106,1.255326,1.255326,1.239187,1.239187,1.185326,1.169187,1.185326,1.169187,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-4.773057e-13,4.826337e-13,2.039871e-06,-2.039871e-06,-1.188974e-13,1.246693e-13,8.0063e-13,-7.974316e-13,-3.219647e-13,-2.1307489999999998e-05,2.1307489999999998e-05,-2.1307489999999998e-05,2.4673989999999997e-05,-2.4673989999999997e-05,2.039511e-13,-2.0152729999999998e-13,-8.881784e-14,-5.406377999999999e-06,5.406377999999999e-06,-5.406377999999999e-06,-7.927349e-13,8.063516e-13,0.0,-2.0177950000000001e-13,0.0,0.0,-2.6713870000000003e-05,2.0820250000000002e-13,0.0,0.0,0.0,0.0
2.735850000000216e-002,-0.06968439,-0.0699203,1.266126,2.5,1.233874,1.255586,1.2549540000000001,1.239383,1.239223,1.255269,1.255269,1.2393020000000001,1.2393020000000001,1.1852690000000001,1.169302,1.1852690000000001,1.169302,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-4.0937059999999994e-13,4.146985e-13,1.751147e-06,-1.751147e-06,-1.0166010000000001e-13,1.0743210000000002e-13,7.921463000000001e-13,-7.888517e-13,-3.830269e-13,-2.1079970000000003e-05,2.1079970000000003e-05,-2.1079970000000003e-05,2.467748e-05,-2.467748e-05,2.0184049999999999e-13,-1.993083e-13,-8.881784e-14,-5.34865e-06,5.34865e-06,-5.34865e-06,-7.885886e-13,7.940267e-13,0.0,-1.968031e-13,0.0,0.0,-2.642862e-05,2.082573e-13,0.0,0.0,0.0,0.0
2.740550000000220e-002,-0.06968749,-0.06992102,1.265974,2.5,1.234026,1.255533,1.254907,1.239483,1.2393239999999999,1.255219,1.255219,1.239403,1.239403,1.1852200000000002,1.169403,1.1852200000000002,1.169403,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-3.501015e-13,3.549854e-13,1.4983090000000002e-06,-1.4983090000000002e-06,-8.656534e-14,9.233730000000001e-14,7.847228e-13,-7.813324e-13,-4.2188469999999995e-13,-2.088074e-05,2.088074e-05,-2.088074e-05,2.468052e-05,-2.468052e-05,2.0000050000000002e-13,-1.973568e-13,-1.054712e-13,-5.298097e-06,5.298097e-06,-5.298097e-06,-7.694189e-13,7.699518e-13,0.0,-1.854404e-13,0.0,0.0,-2.617883e-05,2.07322e-13,0.0,0.0,0.0,0.0
2.745350000000225e-002,-0.06969011,-0.06992185,1.265841,2.5,1.234159,1.255487,1.254866,1.239571,1.2394129999999999,1.255176,1.255176,1.239491,1.239491,1.185176,1.169491,1.185176,1.169491,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.982008e-13,3.0308470000000004e-13,1.277731e-06,-1.277731e-06,-7.350752e-14,7.905748999999999e-14,7.78253e-13,-7.74766e-13,-4.773959e-13,-2.070692e-05,2.070692e-05,-2.070692e-05,2.4683179999999996e-05,-2.4683179999999996e-05,1.984015e-13,-1.956481e-13,-1.276756e-13,-5.253994e-06,5.253994e-06,-5.253994e-06,-7.728526999999999e-13,7.876338e-13,0.0,-2.002529e-13,0.0,0.0,-2.5960920000000002e-05,2.1011620000000002e-13,0.0,0.0,0.0,0.0
2.750250000000230e-002,-0.06969237,-0.06992233,1.265725,2.5,1.234275,1.255447,1.254831,1.239647,1.23949,1.2551379999999999,1.2551379999999999,1.239568,1.239568,1.185138,1.169568,1.185138,1.169568,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.530916e-13,2.5797559999999996e-13,1.086017e-06,-1.086017e-06,-6.206189e-14,6.761185000000001e-14,7.726366e-13,-7.690520999999999e-13,-5.051515000000001e-13,-2.055585e-05,2.055585e-05,-2.055585e-05,2.4685500000000003e-05,-2.4685500000000003e-05,1.970188e-13,-1.941559e-13,-1.3322679999999997e-13,-5.2156629999999995e-06,5.2156629999999995e-06,-5.2156629999999995e-06,-7.59682e-13,7.69496e-13,0.0,-1.8849160000000003e-13,0.0,0.0,-2.577151e-05,1.976017e-13,0.0,0.0,0.0,0.0
2.755250000000235e-002,-0.06969428,-0.0699228,1.265625,2.5,1.234375,1.255413,1.2548,1.2397129999999998,1.239557,1.255105,1.255105,1.239635,1.239635,1.185106,1.169634,1.185106,1.169634,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-2.1414229999999997e-13,2.1880429999999997e-13,9.200114e-07,-9.200113e-07,-5.2151070000000007e-14,5.770104e-14,7.677791999999999e-13,-7.640985e-13,-5.440093000000001e-13,-2.0425039999999998e-05,2.0425039999999998e-05,-2.0425039999999998e-05,2.46875e-05,-2.46875e-05,1.9582929999999998e-13,-1.9285610000000002e-13,-1.3322679999999997e-13,-5.182472e-06,5.182472e-06,-5.182472e-06,-7.551005e-13,7.685416e-13,0.0,-1.860707e-13,0.0,0.0,-2.5607510000000002e-05,1.940579e-13,0.0,0.0,0.0,0.0
2.759450000000239e-002,-0.06969571,-0.06992328,1.2655530000000002,2.5,1.2344469999999998,1.255388,1.2547780000000002,1.23976,1.239606,1.255082,1.255082,1.239682,1.239682,1.185082,1.1696819999999999,1.185082,1.1696819999999999,2.5,0.0,-0.07,0.0,0.36,0.0,4.7,0.0,2.7,0.0,0.36,0.0,10.0,0.0,-1.860962e-13,1.9053620000000002e-13,8.003437e-07,-8.003437e-07,-4.511774e-14,5.04457e-14,7.642824e-13,-7.605229e-13,-5.717649000000001e-13,-2.0330739999999998e-05,2.0330739999999998e-05,-2.0330739999999998e-05,2.468894e-05,-2.468894e-05,1.94977e-13,-1.919139e-13,-1.44329e-13,-5.1585450000000004e-06,5.1585450000000004e-06,-5.1585450000000004e-06,-7.572812e-13,7.676206000000001e-13,0.0,-1.8759029999999998e-13,0.0,0.0,-2.548928e-05,1.907368e-13,0.0,0.0,0.0,0.0
