time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	V(nc_07)	V(nc_08)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)
5.000100000000000e-003	-1.063939e-001	-3.360617e-002	-2.500000e+000	-2.499539e+000	-4.613344e-004	-1.286394e+000	-1.213606e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.500000e-003	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-6.250000e-003	0.000000e+000	-3.167872e-008	3.167872e-008	-2.426280e-003	2.426280e-003	-9.098444e-011	9.098490e-011	3.176972e-008	2.426258e-003	-2.426289e-003	2.426289e-003	-9.226687e-009	9.226687e-009	9.098559e-011	-9.099625e-011	2.426289e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000105996766476e-003	-1.063935e-001	-3.360665e-002	-2.500000e+000	-2.499510e+000	-4.904331e-004	-1.286393e+000	-1.213607e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.649919e-003	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-6.624798e-003	0.000000e+000	-1.015224e-008	1.015226e-008	-2.426223e-003	2.426223e-003	-9.098310e-011	9.098356e-011	1.024324e-008	2.426222e-003	-2.426232e-003	2.426232e-003	-9.808662e-009	9.808662e-009	9.099795e-011	-9.098300e-011	2.426232e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000117990299429e-003	-1.063919e-001	-3.360820e-002	-2.500000e+000	-2.499451e+000	-5.486286e-004	-1.286392e+000	-1.213608e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.949758e-003	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-7.374394e-003	0.000000e+000	8.445890e-010	-8.445698e-010	-2.426108e-003	2.426108e-003	-9.097927e-011	9.097972e-011	-7.536009e-010	2.426120e-003	-2.426119e-003	2.426119e-003	-1.097257e-008	1.097257e-008	9.099121e-011	-9.097691e-011	2.426119e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.005815420256653e-003	-1.055966e-001	-3.440348e-002	-2.500000e+000	-2.472148e+000	-2.785217e-002	-1.285597e+000	-1.214403e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-1.453855e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-3.634637e-001	0.000000e+000	8.983937e-010	-8.983845e-010	-2.372546e-003	2.372546e-003	-8.899115e-011	8.899160e-011	-8.094006e-010	2.373103e-003	-2.373102e-003	2.373102e-003	-5.570435e-007	5.570435e-007	8.899222e-011	-8.898910e-011	2.373102e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.011512850213878e-003	-1.048180e-001	-3.518213e-002	-2.500000e+000	-2.445415e+000	-5.458481e-002	-1.284818e+000	-1.215182e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.878212e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-7.195531e-001	0.000000e+000	9.078702e-010	-9.078691e-010	-2.320103e-003	2.320103e-003	-8.704461e-011	8.704504e-011	-8.208283e-010	2.321195e-003	-2.321194e-003	2.321194e-003	-1.091696e-006	1.091696e-006	8.703832e-011	-8.704470e-011	2.321194e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.017210280171102e-003	-1.040560e-001	-3.594414e-002	-2.500000e+000	-2.419253e+000	-8.074653e-002	-1.284056e+000	-1.215944e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-4.302570e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-1.075642e+000	0.000000e+000	8.730182e-010	-8.730237e-010	-2.268780e-003	2.268780e-003	-8.513963e-011	8.514006e-011	-7.878839e-010	2.270396e-003	-2.270395e-003	2.270395e-003	-1.614931e-006	1.614931e-006	8.512953e-011	-8.514370e-011	2.270395e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.022907710128327e-003	-1.033106e-001	-3.668950e-002	-2.500000e+000	-2.393663e+000	-1.063373e-001	-1.283311e+000	-1.216689e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-5.726927e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-1.431732e+000	0.000000e+000	7.938380e-010	-7.938482e-010	-2.218577e-003	2.218577e-003	-8.327623e-011	8.327664e-011	-7.105674e-010	2.220705e-003	-2.220704e-003	2.220704e-003	-2.126747e-006	2.126747e-006	8.326583e-011	-8.328610e-011	2.220704e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.028605140085551e-003	-1.025819e-001	-3.741822e-002	-2.500000e+000	-2.368643e+000	-1.313573e-001	-1.282582e+000	-1.217418e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-7.151285e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-1.787821e+000	0.000000e+000	6.703294e-010	-6.703427e-010	-2.169495e-003	2.169495e-003	-8.145439e-011	8.145479e-011	-5.888789e-010	2.172122e-003	-2.172122e-003	2.172122e-003	-2.627145e-006	2.627145e-006	8.144724e-011	-8.147191e-011	2.172122e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.034302570042776e-003	-1.018698e-001	-3.813031e-002	-2.500000e+000	-2.344194e+000	-1.558062e-001	-1.281870e+000	-1.218130e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-8.575642e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-2.143911e+000	0.000000e+000	5.024925e-010	-5.025072e-010	-2.121532e-003	2.121532e-003	-7.967413e-011	7.967451e-011	-4.228183e-010	2.124648e-003	-2.124648e-003	2.124648e-003	-3.116125e-006	3.116125e-006	7.967376e-011	-7.970112e-011	2.124648e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.040000000000000e-003	-1.011744e-001	-3.882575e-002	-2.500000e+000	-2.320316e+000	-1.796843e-001	-1.281174e+000	-1.218826e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-1.000000e+000	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-2.500000e+000	0.000000e+000	2.903273e-010	-2.903416e-010	-2.074689e-003	2.074689e-003	-7.793544e-011	7.793580e-011	-2.123857e-010	2.078283e-003	-2.078283e-003	2.078283e-003	-3.593687e-006	3.593687e-006	7.794537e-011	-7.797373e-011	2.078283e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
