time,"V(N008,N005)"
Step Information: R6=50 R5=50  (Run: 1/676),
4.53E-02,-0.07002714
4.53E-02,-0.07002394
4.53E-02,-0.07002113
4.53E-02,-0.07001867
4.53E-02,-0.07001652
4.54E-02,-0.07001464
4.54E-02,-0.070013
4.54E-02,-0.07001122
4.54E-02,-0.07000972
4.54E-02,-0.07000845
4.54E-02,-0.07000737
4.54E-02,-0.07000647
4.54E-02,-0.0700057
4.54E-02,-0.07000492
4.54E-02,-0.07000429
4.54E-02,-0.07000377
4.54E-02,-0.07000329
4.54E-02,-0.0700029
4.54E-02,-0.07000256
4.54E-02,-0.07000226
4.54E-02,-0.07000201
4.55E-02,-0.0700018
4.55E-02,-0.07000164
4.55E-02,-0.07000151
4.55E-02,-0.07000143
4.56E-02,-0.07000136
4.60E-02,-0.07000118
4.70E-02,-0.07000086
4.81E-02,-0.07000066
4.91E-02,-0.07000052
5.00E-02,-0.07000044
5.00E-02,-0.07000044
Step Information: R6=168 R5=50  (Run: 2/676),
0.00E+00,-0.07
1.01E-03,-0.07000008
2.03E-03,-0.07000016
3.05E-03,-0.07000021
4.08E-03,-0.07000025
5.00E-03,-0.07000027
5.00E-03,-0.07000171
5.00E-03,-0.07000462
5.00E-03,-0.07010516
5.00E-03,-0.07052495
5.00E-03,-0.07094862
5.00E-03,-0.0717872
5.00E-03,-0.07280312
5.00E-03,-0.07379808
5.00E-03,-0.07477645
5.01E-03,-0.07573851
5.01E-03,-0.07668455
5.01E-03,-0.07761483
5.01E-03,-0.07852961
5.01E-03,-0.07942915
5.01E-03,-0.08031371
5.01E-03,-0.08118351
5.01E-03,-0.08203886
5.01E-03,-0.08287993
5.01E-03,-0.08370697
5.02E-03,-0.08452028
5.02E-03,-0.08532006
5.02E-03,-0.08687982
5.02E-03,-0.08838806
5.02E-03,-0.08984649
5.02E-03,-0.0912568
5.03E-03,-0.09328541
5.03E-03,-0.09521437
5.03E-03,-0.09763986
5.04E-03,-0.09990799
5.04E-03,-0.1025372
5.05E-03,-0.1054149
5.06E-03,-0.1084262
5.06E-03,-0.1114621
5.07E-03,-0.1147279
5.09E-03,-0.1177431
5.10E-03,-0.1209146
5.10E-03,-0.1208291
5.10E-03,-0.1206578
5.11E-03,-0.1141397
5.12E-03,-0.1086056
5.12E-03,-0.1037694
5.13E-03,-0.09954286
5.14E-03,-0.09584928
5.15E-03,-0.09262145
5.16E-03,-0.0898006
5.16E-03,-0.08733547
5.17E-03,-0.08518112
5.18E-03,-0.08329833
5.19E-03,-0.08165312
5.20E-03,-0.0802151
5.20E-03,-0.07895863
5.21E-03,-0.07786047
5.22E-03,-0.07690084
5.23E-03,-0.0760622
5.24E-03,-0.0753293
5.24E-03,-0.07468867
5.25E-03,-0.0741291
5.26E-03,-0.07363975
5.27E-03,-0.07321239
5.28E-03,-0.07283878
5.28E-03,-0.07251239
5.29E-03,-0.072227
5.30E-03,-0.07197762
5.31E-03,-0.07175982
5.32E-03,-0.07156932
5.32E-03,-0.07140303
5.33E-03,-0.07125747
5.34E-03,-0.07113039
5.35E-03,-0.07101929
5.36E-03,-0.07092214
5.36E-03,-0.07083738
5.37E-03,-0.07076311
5.38E-03,-0.0706985
5.39E-03,-0.07064188
5.40E-03,-0.07059228
5.40E-03,-0.07054913
5.41E-03,-0.07051134
5.42E-03,-0.07047832
5.43E-03,-0.07044947
5.44E-03,-0.0704242
5.44E-03,-0.07040215
5.45E-03,-0.07038295
5.46E-03,-0.07036614
5.47E-03,-0.07035136
5.48E-03,-0.07033861
5.48E-03,-0.07032716
5.49E-03,-0.07031739
5.50E-03,-0.07030892
5.51E-03,-0.07030141
5.52E-03,-0.07029486
5.52E-03,-0.07028902
5.53E-03,-0.07028413
5.54E-03,-0.07027972
5.55E-03,-0.07027543
5.56E-03,-0.07027173
5.57E-03,-0.07026863
5.58E-03,-0.07026589
